fecha,ndvi_media,ndvi_mediana,ndvi_min,ndvi_max,pixeles_validos,tiles_usados
2001-12-19,0.6842,0.7483,-0.2,1.0,730715,1
2002-01-01,0.7296,0.7825,-0.2,1.0,727941,1
2002-01-17,0.7032,0.7594,-0.2,1.0,729272,1
2002-02-02,0.6643,0.7213,-0.2,1.0,731977,1
2002-02-18,0.6811,0.7413,-0.2,1.0,728831,1
2002-03-06,0.6519,0.712,-0.2,1.0,729275,1
2002-03-22,0.6287,0.6811,-0.2,0.9975,728192,1
2002-04-07,0.6238,0.6655,-0.2,1.0,729895,1
2002-04-23,0.6153,0.6556,-0.2,1.0,734483,1
2002-05-09,0.5695,0.5968,-0.2,1.0,733271,1
2002-05-25,0.6721,0.7345,-0.2,1.0,733256,1
2002-06-10,0.7182,0.7696,-0.2,1.0,732061,1
2002-06-26,0.6516,0.749,-0.2,1.0,735321,1
2002-07-12,0.6897,0.774,-0.2,1.0,734958,1
2002-07-28,0.6964,0.7698,-0.2,1.0,735546,1
2002-08-13,0.6817,0.7615,-0.2,1.0,733489,1
2002-08-29,0.7018,0.7793,-0.2,1.0,734568,1
2002-09-14,0.7208,0.7895,-0.2,1.0,735015,1
2002-09-30,0.7344,0.7986,-0.2,1.0,732636,1
2002-10-16,0.7284,0.7934,-0.2,1.0,732290,1
2002-11-01,0.7488,0.806,-0.2,1.0,731757,1
2002-11-17,0.7456,0.8032,-0.2,1.0,732779,1
2002-12-03,0.7495,0.7917,-0.2,1.0,729465,1
2002-12-19,0.7383,0.7861,-0.2,1.0,729085,1
2003-01-01,0.7211,0.7775,-0.2,0.9982,729448,1
2003-01-17,0.6841,0.7482,-0.2,1.0,727768,1
2003-02-02,0.6835,0.7411,-0.2,1.0,730973,1
2003-02-18,0.6749,0.7289,-0.2,1.0,730349,1
2003-03-06,0.6511,0.6959,-0.2,1.0,731181,1
2003-03-22,0.6337,0.6654,-0.2,1.0,731936,1
2003-04-07,0.6373,0.6709,-0.2,1.0,730879,1
2003-04-23,0.6018,0.6345,-0.2,1.0,735440,1
2003-05-09,0.5628,0.6056,-0.2,1.0,735147,1
2003-05-25,0.6109,0.6753,-0.2,1.0,735336,1
2003-06-10,0.6697,0.7379,-0.2,1.0,734812,1
2003-06-26,0.6949,0.7581,-0.2,1.0,735349,1
2003-07-12,0.631,0.7283,-0.2,1.0,735526,1
2003-07-28,0.6721,0.7596,-0.2,1.0,735698,1
2003-08-13,0.71,0.7763,-0.2,1.0,734701,1
2003-08-29,0.721,0.782,-0.2,1.0,734437,1
2003-09-14,0.7287,0.7894,-0.2,1.0,734419,1
2003-09-30,0.704,0.7816,-0.2,1.0,734581,1
2003-10-16,0.6969,0.7814,-0.2,1.0,734250,1
2003-11-01,0.7106,0.786,-0.2,1.0,734467,1
2003-11-17,0.7335,0.7969,-0.2,1.0,732839,1
