fecha,ndvi_media,ndvi_mediana,ndvi_min,ndvi_max,pixeles_validos
2000-02-18,0.5266,0.5913,-0.197,0.9973,24460
2000-03-05,0.5021,0.5303,-0.2,0.9305,24013
2000-03-21,0.5726,0.5703,-0.2,0.9302,23213
2000-04-06,0.5058,0.5166,-0.2,0.9242,23698
2000-04-22,0.4721,0.5072,-0.2,0.9465,24271
2000-05-08,0.4722,0.5187,-0.2,0.9595,24447
2000-05-24,0.4366,0.4439,-0.1981,0.9313,24538
2000-06-09,0.4926,0.5928,-0.1902,0.9576,24516
2000-06-25,0.637,0.7884,-0.2,0.9634,24474
2000-07-11,0.6012,0.7505,-0.1974,0.967,24531
2000-07-27,0.5352,0.6833,-0.2,0.9982,24490
2000-08-12,0.4861,0.6082,-0.2,0.9801,24520
2000-08-28,0.6299,0.7697,-0.2,0.9822,24480
2000-09-13,0.696,0.799,-0.2,0.9891,24387
2000-09-29,0.6564,0.7965,-0.2,0.9544,24487
2000-10-15,0.6598,0.7976,-0.2,0.994,24421
2000-10-31,0.748,0.8104,-0.2,0.9776,23164
2000-11-16,0.6659,0.7968,-0.2,0.9768,23934
2000-12-02,0.712,0.7839,-0.2,0.937,23297
2000-12-18,0.6055,0.7242,-0.2,0.9627,24069
2001-01-01,0.559,0.6745,-0.2,0.9966,24175
2001-01-17,0.6323,0.6833,-0.2,0.9493,23286
2001-02-02,0.5381,0.5799,-0.2,0.9331,23916
2001-02-18,0.5668,0.5686,-0.2,0.9321,23209
2001-03-06,0.5348,0.5488,-0.2,0.909,23883
2001-03-22,0.5059,0.5188,-0.2,0.95,23805
2001-04-07,0.4785,0.4955,-0.2,0.9307,23743
2001-04-23,0.4961,0.5039,-0.2,0.9248,24193
2001-05-09,0.404,0.4445,-0.2,1.0,24454
2001-05-25,0.6121,0.7025,-0.2,0.9583,24435
2001-06-10,0.4475,0.4672,-0.1917,0.9299,24134
2001-06-26,0.5245,0.7216,-0.2,0.9908,24442
2001-07-12,0.6628,0.7818,-0.2,0.9936,24340
2001-07-28,0.6184,0.7624,-0.1994,0.9615,24473
2001-08-13,0.6578,0.7707,-0.2,0.9776,24328
2001-08-29,0.6672,0.7871,-0.2,0.9954,24498
2001-09-14,0.6636,0.7848,-0.1995,0.9943,24311
2001-09-30,0.6952,0.8073,-0.2,0.9939,24003
2001-10-16,0.6989,0.8079,-0.2,0.9977,24270
2001-11-01,0.6054,0.7737,-0.2,1.0,24343
2001-11-17,0.7094,0.8029,-0.2,0.9615,24100
2001-12-03,0.6239,0.7573,-0.2,0.9855,24117
2001-12-19,0.6033,0.7241,-0.2,0.9612,24284
2002-01-01,0.6424,0.7389,-0.2,0.9983,23946
2002-01-17,0.6113,0.6873,-0.2,0.9704,23502
2002-02-02,0.5907,0.6426,-0.2,0.9557,23705
2002-02-18,0.5843,0.6021,-0.2,0.9546,23306
2002-03-06,0.5276,0.543,-0.2,0.9323,23614
2002-03-22,0.4866,0.4838,-0.1996,0.9224,23037
